id;username;password;name;surname;email
1;Oklahoma;Cordoba Oro Colorado iterate;Tasty Wooden Towels systemic monetize;Liaison;Marcia38@gmail.com
2;Producer;killer;input Monaco;Borders Configuration Keyboard;Leila66@hotmail.com
3;disintermediate Road eco-centric;withdrawal;Central panel;feed;Kip45@yahoo.com
4;Jewelery;utilisation;Bike invoice methodology;Lek New York;Stanton.Conroy@gmail.com
5;program mobile deposit;Books Games;Multi-tiered Auto Loan Account Tasty;collaborative Concrete object-oriented;Janessa76@gmail.com
6;compressing;clicks-and-mortar;neural-net;Handmade Soft Keyboard Wooden;Alia_Cole@gmail.com
7;Creative Bedfordshire Manager;Quality Incredible Fresh Sausages national;Rand bypass Dynamic;Personal Loan Account Research;Arlene61@gmail.com
8;Fantastic;deliverables Regional;Iraqi Dinar;invoice index;Ofelia.Stracke75@yahoo.com
9;Accounts Gorgeous Wooden Cheese Usability;front-end;Mouse;Implementation Ohio;Kianna78@yahoo.com
10;mindshare XML;SMTP alarm Pula;Refined application;forecast;Ashlee.West@hotmail.com
